epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,20035.6,0.65302,0.60129,1.11106,0.90434,0.85724,0.92166,0.7468,0.69617,0.61429,1.2176,0.000307,0.000307,0.000307
44,20431.5,0.64299,0.58074,1.09979,0.89543,0.87862,0.94044,0.75616,0.72152,0.58312,1.2289,0.0002905,0.0002905,0.0002905
45,20826.4,0.64042,0.58229,1.10278,0.92112,0.89318,0.94657,0.76055,0.70863,0.55646,1.20112,0.000274,0.000274,0.000274
46,21221.3,0.65167,0.58818,1.10369,0.92851,0.88157,0.94547,0.75657,0.70326,0.56473,1.20474,0.0002575,0.0002575,0.0002575
47,21613.6,0.62497,0.55619,1.08185,0.93701,0.85639,0.94221,0.77183,0.67181,0.54582,1.17556,0.000241,0.000241,0.000241
48,22006.8,0.62597,0.56131,1.08969,0.92264,0.86355,0.93897,0.76319,0.71219,0.55981,1.22286,0.0002245,0.0002245,0.0002245
49,22400.3,0.62169,0.54629,1.08922,0.90593,0.91051,0.95195,0.77504,0.70259,0.54775,1.19936,0.000208,0.000208,0.000208
50,22792.9,0.6205,0.55274,1.07491,0.93781,0.86958,0.93384,0.75519,0.71191,0.55547,1.21335,0.0001915,0.0001915,0.0001915
51,23182.1,0.54681,0.43666,1.04747,0.93509,0.86189,0.93712,0.76492,0.69471,0.57088,1.21231,0.000175,0.000175,0.000175
52,23572.3,0.51904,0.40297,1.0182,0.8707,0.90072,0.93837,0.77193,0.6838,0.5526,1.19043,0.0001585,0.0001585,0.0001585
53,23961.2,0.51451,0.39138,1.01654,0.92787,0.88939,0.93589,0.76752,0.69317,0.57473,1.21895,0.000142,0.000142,0.000142
54,24351.1,0.49779,0.37223,1.00591,0.91836,0.91208,0.94333,0.77247,0.70824,0.54176,1.24075,0.0001255,0.0001255,0.0001255
55,24742.1,0.49701,0.36529,1.0081,0.92773,0.90256,0.94106,0.7703,0.69102,0.53007,1.23589,0.000109,0.000109,0.000109
56,25132.6,0.48296,0.34874,0.98781,0.90616,0.91022,0.9446,0.77791,0.67725,0.54033,1.21167,9.25e-05,9.25e-05,9.25e-05
57,25521.9,0.47905,0.34673,0.99134,0.94027,0.90166,0.94743,0.77582,0.67614,0.52444,1.22444,7.6e-05,7.6e-05,7.6e-05
58,25907.4,0.47401,0.34308,0.98502,0.93071,0.88325,0.93776,0.77004,0.69934,0.5172,1.25488,5.95e-05,5.95e-05,5.95e-05
59,26294,0.46472,0.33179,0.97886,0.94076,0.88206,0.94222,0.77271,0.68362,0.5241,1.22575,4.3e-05,4.3e-05,4.3e-05
60,26681.6,0.45603,0.33957,0.97368,0.93181,0.89556,0.94387,0.77545,0.67332,0.51386,1.21877,2.65e-05,2.65e-05,2.65e-05
